"","id","smile"
"98","DB00223","[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C"
"99","DB00224","CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12"
"100","DB00226","NC(N)=NCC1COC2(CCCCC2)O1"
"101","DB00227","[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC"
"102","DB00228","FC(F)OC(F)(F)C(F)Cl"
"103","DB00229","[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O"
"104","DB00230","CC(C)C[C@H](CN)CC(O)=O"
"105","DB00231","CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1"
"106","DB00232","CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O"
"107","DB00233","NC1=CC(O)=C(C=C1)C(O)=O"
"108","DB00234","[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1"
"109","DB00235","CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1"
"110","DB00236","BrCCC(=O)N1CCN(CC1)C(=O)CCBr"
"111","DB00237","CCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"112","DB00238","CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1"
"113","DB00239","ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1"
"114","DB00240","[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C"
"115","DB00241","CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O"
"116","DB00242","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1"
"117","DB00243","COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1"
"118","DB00244","NC1=CC(C(O)=O)=C(O)C=C1"
"119","DB00246","ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1"
"120","DB00247","[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO"
"121","DB00248","[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC"
"122","DB00249","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O"
"123","DB00250","NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1"
"124","DB00251","CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"125","DB00252","O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1"
